,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Marital_Status_Married,Marital_Status_Single,Employment_Type_Contarct Basis,Employment_Type_Permanant
101,1,1,72,1,2,1990.0,4.964383561643835,0,0.0,1.0,1.0,0.0
102,0,1,8,1,2,1993.0,4.964383561643835,0,0.0,1.0,1.0,0.0
103,1,1,1,0,1,1977.142857142857,4.002739726027397,0,1.0,0.0,1.0,0.0
104,1,1,1,0,1,1980.142857142857,1.915068493150685,0,1.0,0.0,1.0,0.0
105,0,1,31,1,1,1970.0,4.002739726027397,0,1.0,0.0,1.0,0.0
106,1,1,1,0,1,1994.0,3.9808219178082194,0,1.0,0.0,1.0,0.0
107,1,3,31,0,1,1997.0,3.032876712328767,0,0.0,1.0,1.0,0.0
108,1,5,69,0,2,1997.0,4.876712328767123,0,0.0,1.0,1.0,0.0
109,1,1,107,1,2,1991.0,4.86027397260274,1,0.0,0.0,1.0,0.0
110,1,5,27,0,2,1994.0,4.7095890410958905,0,0.0,1.0,1.0,0.0
111,1,1,43,0,2,1993.0,4.704109589041096,0,0.0,1.0,1.0,0.0
112,0,1,88,0,2,1995.0,3.252054794520548,0,0.0,1.0,1.0,0.0
113,0,1,111,0,2,1994.0,3.197260273972603,0,0.0,1.0,1.0,0.0
114,1,1,89,1,2,1990.0,3.6986301369863015,0,0.0,1.0,1.0,0.0
115,1,1,97,0,3,1978.0,3.5753424657534247,0,1.0,0.0,1.0,0.0
116,1,1,101,0,2,2001.0,0.4849315068493151,0,0.0,1.0,1.0,0.0
117,1,1,24,0,2,1973.0,3.334246575342466,0,1.0,0.0,1.0,0.0
118,0,1,175,1,2,1984.0,3.219178082191781,0,0.0,1.0,1.0,0.0
119,1,1,17,0,2,1996.0,3.1890410958904107,0,0.0,1.0,1.0,0.0
120,1,1,78,0,2,1992.0,4.457534246575342,0,0.0,1.0,1.0,0.0
121,1,1,193,0,3,1993.142857142857,3.717808219178082,0,1.0,0.0,1.0,0.0
122,1,1,127,1,3,1972.0,4.16986301369863,0,1.0,0.0,1.0,0.0
123,1,1,110,1,3,1981.7142857142858,4.16986301369863,0,1.0,0.0,1.0,0.0
124,1,1,79,0,2,1995.0,4.041095890410959,0,0.0,1.0,1.0,0.0
125,0,1,84,0,2,1992.0,3.947945205479452,0,1.0,0.0,1.0,0.0
126,1,1,88,0,2,1998.0,1.7397260273972603,0,0.0,1.0,1.0,0.0
127,1,1,88,0,2,1997.0,3.813698630136986,0,0.0,1.0,1.0,0.0
128,1,1,113,0,2,1995.0,2.347945205479452,0,0.0,1.0,1.0,0.0
129,1,1,45,0,3,1966.0,2.3013698630136985,1,1.0,0.0,1.0,0.0
130,1,4,98,0,2,1985.0,3.558904109589041,0,0.0,1.0,1.0,0.0
131,0,1,84,0,2,1990.0,1.5698630136986302,0,1.0,0.0,1.0,0.0
132,1,1,24,0,2,1992.0,1.736986301369863,0,0.0,1.0,1.0,0.0
133,0,1,104,0,2,1983.0,3.16986301369863,0,1.0,0.0,1.0,0.0
134,0,1,143,0,2,1999.0,2.419178082191781,0,0.0,1.0,1.0,0.0
135,1,1,22,1,2,1965.0,23.49041095890411,1,1.0,0.0,0.0,1.0
136,1,1,7,1,2,1981.0,19.27123287671233,0,1.0,0.0,0.0,1.0
137,1,1,36,1,2,1988.0,3.3972602739726026,1,1.0,0.0,1.0,0.0
138,1,1,8,0,2,1990.0,3.410958904109589,0,1.0,0.0,1.0,0.0
139,1,1,22,0,2,1985.142857142857,3.421917808219178,0,1.0,0.0,1.0,0.0
140,1,1,36,0,2,1961.0,3.421917808219178,0,1.0,0.0,1.0,0.0
